date,hy_oas,bbb_oas,sp500,hy_oas_52w_ma,hy_oas_deviation_bps,stress_signal,hy_bbb_diff,hy_oas_percentile,sp500_12m_return,sp500_drawdown_pct,sp500_52w_high,rolling_corr_52w,hy_oas_yoy_chg,hy_oas_zscore,regime,hy_oas_chg,sp500_chg_pct,sp500_fwd_12m_pct,sp500_fwd_6m_pct
1997-01-03,3.0900,0.8300,748.0300,,,0,2.2600,100.0000,,0.0000,748.0300,,,,Calm,,,30.3477,22.5780
1997-01-10,3.1600,0.9500,759.5000,,,0,2.2100,100.0000,,0.0000,759.5000,,,0.7071,Calm,0.0700,1.5334,22.1448,20.6952
1997-01-17,3.0400,0.8200,776.1700,,,0,2.2200,33.3333,,0.0000,776.1700,,,-0.9401,Calm,-0.1200,2.1949,23.8788,17.9252
1997-01-24,2.9400,0.8200,770.5200,,,0,2.1200,25.0000,,-0.7279,776.1700,,,-1.2701,Complacency,-0.1000,-0.7279,24.2784,21.8385
1997-01-31,3.0400,0.8200,786.1600,,,0,2.2200,50.0000,,0.0000,786.1600,,,-0.1739,Calm,0.1000,2.0298,24.6922,20.4767
1997-02-07,3.0600,0.8200,789.5600,,,0,2.2400,66.6667,,0.0000,789.5600,,,0.0694,Calm,0.0200,0.4325,28.2309,18.2355
1997-02-14,3.0500,0.8100,808.4800,,,0,2.2400,57.1429,,0.0000,808.4800,,,-0.0651,Calm,-0.0100,2.3963,26.1738,11.4202
1997-02-21,2.8900,0.8100,801.7700,,,0,2.0800,12.5000,,-0.8299,808.4800,,,-1.7079,Complacency,-0.1600,-0.8299,28.9909,15.1876
1997-02-28,2.7300,0.7900,790.8200,,,0,1.9400,11.1111,,-2.1843,808.4800,,,-2.1051,Complacency,-0.1600,-1.3657,32.6901,13.7389
1997-03-07,2.7400,0.7700,804.9700,,,0,1.9700,20.0000,,-0.4341,808.4800,,,-1.6003,Complacency,0.0100,1.7893,31.1465,15.4142
1997-03-14,2.6600,0.7700,793.1700,,,0,1.8900,9.0909,,-1.8937,808.4800,,,-1.6996,Complacency,-0.0800,-1.4659,34.7265,16.4832
1997-03-21,2.6900,0.7600,784.1000,,,0,1.9300,16.6667,,-3.0155,808.4800,,,-1.3282,Complacency,0.0300,-1.1435,40.1811,21.2231
1997-03-28,2.6700,0.7500,773.8800,,,0,1.9200,15.3846,,-4.2796,808.4800,,,-1.2826,Complacency,-0.0200,-1.3034,41.5516,22.1404
1997-04-04,2.9200,0.7700,757.9000,,,0,2.1500,50.0000,,-6.2562,808.4800,,,0.0813,Complacency,0.2500,-2.0649,48.1330,27.3295
1997-04-11,2.8700,0.7700,737.6500,,,0,2.1000,40.0000,,-8.7609,808.4800,,,-0.1965,Complacency,-0.0500,-2.6719,50.5687,31.0893
1997-04-18,2.9100,0.7700,766.3400,,,0,2.1400,50.0000,,-5.2122,808.4800,,,0.0381,Complacency,0.0400,3.8894,46.5042,23.2038
1997-04-25,2.7800,0.7900,765.3700,,,0,1.9900,35.2941,,-5.3322,808.4800,,,-0.7211,Complacency,-0.1300,-0.1266,44.7535,23.0307
1997-05-02,2.9000,0.7900,812.9700,,,0,2.1100,50.0000,,0.0000,812.9700,,,0.0213,Complacency,0.1200,6.2192,37.8895,12.5035
1997-05-09,2.8100,0.7800,824.7800,,,0,2.0300,36.8421,,0.0000,824.7800,,,-0.5346,Complacency,-0.0900,1.4527,34.3558,12.4554
